"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ 16xlarge","r7iz.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Metal-16xl","r7iz.metal-16xl","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I7IE 12xlarge","i7ie.12xlarge","384.0 GiB","48 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","Up to 50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X8G 16xlarge","x8g.16xlarge","1024.0 GiB","64 vCPUs","EBS only","30 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7I Metal-24xl","r7i.metal-24xl","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7I 24xlarge","r7i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7A 32xlarge","c7a.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","950 GB                 NVMe SSD","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","960 GB                 SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Eight Extra Large","x2iezn.8xlarge","1024.0 GiB","32 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G6 Graphics and Machine Learning GPU 24xlarge","g6.24xlarge","384.0 GiB","96 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","EBS only","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","6400 GB                 (8 * 800 GB SSD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5N Metal","r5n.metal","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P2 General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7A 24xlarge","r7a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M7A 32xlarge","m7a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G6E 16xlarge","g6e.16xlarge","512.0 GiB","64 vCPUs","1900 GB                 (2 * 950 GB NVMe SSD)","35 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C8G Metal-48xl","c8g.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C8G 48xlarge","c8g.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","3800 GB                 NVMe SSD","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN 24xlarge","r6in.24xlarge","768.0 GiB","96 vCPUs","EBS only","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7I 48xlarge","c7i.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7I Metal-48xl","c7i.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M8G Metal-48xl","m8g.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M8G 48xlarge","m8g.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN Metal","m6in.metal","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN 32xlarge","m6in.32xlarge","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I7IE 18xlarge","i7ie.18xlarge","576.0 GiB","72 vCPUs","45000 GB                 (6 * 7500 GB NVMe SSD)","Up to 75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X8G Metal-24xl","x8g.metal-24xl","1536.0 GiB","96 vCPUs","EBS only","40 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X8G 24xlarge","x8g.24xlarge","1536.0 GiB","96 vCPUs","EBS only","40 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M7I Metal-48xl","m7i.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M7I 48xlarge","m7i.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7A 32xlarge","r7a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7A Metal-48xl","c7a.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7A 48xlarge","c7a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 12xlarge","x2iezn.12xlarge","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Metal","x2iezn.metal","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G6E 12xlarge","g6e.12xlarge","384.0 GiB","48 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M7A 48xlarge","m7a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M7A Metal-48xl","m7a.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN Metal","r6in.metal","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN 32xlarge","r6in.32xlarge","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R8G Metal-48xl","r8g.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R8G 48xlarge","r8g.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ 32xlarge","r7iz.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Metal-32xl","r7iz.metal-32xl","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3 High Performance GPU Eight Extra Large","p3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I7IE 24xlarge","i7ie.24xlarge","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","Up to 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7I 48xlarge","r7i.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7I Metal-48xl","r7i.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"INF2 48xlarge","inf2.48xlarge","768.0 GiB","192 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","4000 GB                 (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G6 Graphics and Machine Learning GPU 48xlarge","g6.48xlarge","768.0 GiB","192 vCPUs","7520 GB                 (8 * 940 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7A 48xlarge","r7a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7A Metal-48xl","r7a.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G6E 24xlarge","g6e.24xlarge","768.0 GiB","96 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","7600 GB                 (2 * 3800 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X8G 48xlarge","x8g.48xlarge","3072.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X8G Metal-48xl","x8g.metal-48xl","3072.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEDN 24xlarge","x2iedn.24xlarge","3072.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I7IE 48xlarge","i7ie.48xlarge","1536.0 GiB","192 vCPUs","120000 GB                 (16 * 7500 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEDN 32xlarge","x2iedn.32xlarge","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEDN Metal","x2iedn.metal","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G6E 48xlarge","g6e.48xlarge","1536.0 GiB","192 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","400 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","EBS only","400 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 56xlarge","u-6tb1.56xlarge","6144.0 GiB","224 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 112xlarge","u-6tb1.112xlarge","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P5 48xlarge","p5.48xlarge","2048.0 GiB","192 vCPUs","30400 GB                 (8 * 3800 GB NVMe SSD)","3200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U7I-12TB 224xlarge","u7i-12tb.224xlarge","12288.0 GiB","896 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
